Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
81,21,4,97,3,Some Random Commen with Id 81
82,21,4,0,7,Some Random Commen with Id 82
83,21,4,188,3,Some Random Commen with Id 83
84,21,4,15,5,Some Random Commen with Id 84
85,21,4,50,4,Some Random Commen with Id 85
86,22,5,68,5,Some Random Commen with Id 86
87,22,5,18,0,Some Random Commen with Id 87
88,24,7,161,7,Some Random Commen with Id 88
89,24,7,157,4,Some Random Commen with Id 89
90,24,7,59,2,Some Random Commen with Id 90
91,24,7,171,7,Some Random Commen with Id 91
92,24,7,25,0,Some Random Commen with Id 92
93,24,7,123,0,Some Random Commen with Id 93
94,25,5,66,5,Some Random Commen with Id 94
95,25,5,87,7,Some Random Commen with Id 95
96,25,5,177,2,Some Random Commen with Id 96
97,25,5,8,1,Some Random Commen with Id 97
98,25,5,79,3,Some Random Commen with Id 98
99,25,5,150,1,Some Random Commen with Id 99
100,26,3,19,9,Some Random Commen with Id 100
101,26,3,130,7,Some Random Commen with Id 101
102,27,0,151,1,Some Random Commen with Id 102
103,27,0,168,4,Some Random Commen with Id 103
104,27,0,173,4,Some Random Commen with Id 104
105,27,0,124,5,Some Random Commen with Id 105
106,27,0,114,9,Some Random Commen with Id 106
107,27,0,20,8,Some Random Commen with Id 107
108,27,0,187,3,Some Random Commen with Id 108
109,28,6,19,2,Some Random Commen with Id 109
110,28,6,197,3,Some Random Commen with Id 110
111,28,6,82,9,Some Random Commen with Id 111
112,28,6,92,8,Some Random Commen with Id 112
113,28,6,129,8,Some Random Commen with Id 113
114,28,6,101,8,Some Random Commen with Id 114
115,28,6,185,0,Some Random Commen with Id 115
116,28,6,56,4,Some Random Commen with Id 116
117,29,1,39,2,Some Random Commen with Id 117
118,29,1,106,9,Some Random Commen with Id 118
119,29,1,126,4,Some Random Commen with Id 119
120,29,1,45,2,Some Random Commen with Id 120
121,29,1,104,7,Some Random Commen with Id 121
122,29,1,64,2,Some Random Commen with Id 122
123,29,1,196,9,Some Random Commen with Id 123
124,29,1,154,9,Some Random Commen with Id 124
125,31,2,171,3,Some Random Commen with Id 125
126,31,2,90,9,Some Random Commen with Id 126
127,31,2,140,6,Some Random Commen with Id 127
128,31,2,6,2,Some Random Commen with Id 128
129,31,2,83,4,Some Random Commen with Id 129
130,31,2,38,7,Some Random Commen with Id 130
131,31,2,156,8,Some Random Commen with Id 131
132,32,0,82,5,Some Random Commen with Id 132
133,32,0,54,6,Some Random Commen with Id 133
134,32,0,91,5,Some Random Commen with Id 134
135,32,0,190,4,Some Random Commen with Id 135
136,32,0,46,0,Some Random Commen with Id 136
137,32,0,2,5,Some Random Commen with Id 137
138,32,0,48,3,Some Random Commen with Id 138
139,32,0,187,9,Some Random Commen with Id 139
140,32,0,157,5,Some Random Commen with Id 140
141,33,7,172,7,Some Random Commen with Id 141
142,33,7,189,6,Some Random Commen with Id 142
143,33,7,28,4,Some Random Commen with Id 143
144,33,7,195,0,Some Random Commen with Id 144
145,33,7,34,7,Some Random Commen with Id 145
146,34,9,69,4,Some Random Commen with Id 146
147,34,9,92,3,Some Random Commen with Id 147
148,34,9,176,6,Some Random Commen with Id 148
149,34,9,95,0,Some Random Commen with Id 149
150,34,9,22,6,Some Random Commen with Id 150
151,34,9,77,1,Some Random Commen with Id 151
152,34,9,93,6,Some Random Commen with Id 152
153,35,5,88,2,Some Random Commen with Id 153
154,35,5,150,4,Some Random Commen with Id 154
155,36,6,97,7,Some Random Commen with Id 155
156,36,6,110,5,Some Random Commen with Id 156
157,36,6,14,3,Some Random Commen with Id 157
158,36,6,63,5,Some Random Commen with Id 158
159,36,6,67,4,Some Random Commen with Id 159
160,37,9,97,6,Some Random Commen with Id 160
161,37,9,101,6,Some Random Commen with Id 161
162,37,9,112,4,Some Random Commen with Id 162
163,39,6,41,1,Some Random Commen with Id 163
